Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
28,"
University of East Anglia
",History,"
The `Walberswick Project': Coastal Defence of World War Two
","Building on the academic research of staff and post-graduates, the `Walberswick Project' began as
a local study, emerging from the general interest in landscape fostered in the UEA School of
History by Professor Tom Williamson, and more specifically from Dr Robert Liddiard's expertise in
medieval fortifications and their physical setting. Such expertise was here refocused on what had
previously been the almost totally neglected Second World War anti-invasion landscapes of East
Anglia. The realization that an entire world of landscape archaeology was ripe for rediscovery, and
that what was true of Suffolk was no less true of the 'Atlantic Wall', stretching from Norway to
Spain, has led via the project's website to the delivery of high-quality academic research to
organisations charged with managing European heritage. The computer technology developed
here has fed into further projects that now span the English Channel and several periods of history.
Successful bids for European Union and National Heritage Lottery funding ___have ensured impact
that is international in scope, with results disseminated via websites, print publications and other
media to the very widest of constituencies."
30,"
University of East Anglia
",History,"
The Great Hospital Online
","Drawing upon her monograph and other (Wellcome Trust supported) publications on the Norwich
Great Hospital, Rawcliffe provided the material for a website (www.thegreathospital.ac.uk)
designed to bring this unique institution to the attention of a wider public and to enable the
Hospital's Trustees to promote and preserve their Grade One listed buildings. Of the various
English medieval hospital to have survived the Dissolution of the Monasteries, this is the only one
that continues to discharge a charitable function to the present day with its archives and fabric
almost intact. Through the AHRC Knowledge Catalyst Scheme, and in partnership with the
Trustees of the Great Hospital and the Norwich Heritage and Regeneration Trust (HEART), over
&#163;26,800 was raised for the creation of an online resource, complete with video models, to interest
and inform schools, tourists, local history groups and to bring the Hospital's unique attraction to
the attention of the General public. The project has reached an international audience and ____has
contributed significantly to UNESCO recognition for one of Norwich's iconic buildings."
63,"
University of Greenwich
","Psychology, Psychiatry and Neuroscience","
Combating antisocial behaviour and pupils raising aspirations
","Reducing youth anti-social behaviour and raising young people's educational aspirations are
international priorities. Research carried out by the University of Greenwich has provided the basis
for policy development on participation in higher education and ____has informed policy makers' views
about, and practitioners' work on, anti-social behaviour in schools in the UK and more widely. The
impact through partnerships with a local authority and a charity are also described, involving use of
an assessment toolkit called the Emotion, Behaviour, Aspiration Toolkit (eBAT) to address
factors that limit the aspirations and social mobility of young people. The work is located in the
university's Research Centre for Children Schools and Families, which has become a centre for
research on anti-social behaviour:
http://www2.gre.ac.uk/about/schools/health/research/healthsocial/ccsf."
545,"
University of Kent
",Economics and Econometrics,"
Improving the Economic Role of State Education in Britain: Lessons
from the Independent Education Sector
","The research described in this case study has had a significant impact on the policy debate on the
economic role of independent schools in Britain and what might be learned to improve policy in
state education. Moreover, the research ____has informed the government's approach to funding the
teaching of STEM subjects and has led to better public awareness and understanding of the
issues.
The findings ____have provided policy-makers in education and government economists with a better
knowledge base with which to consider and evaluate the role of the independent education sector
in Britain and to contribute to the debate on skills, social mobility and inter-generational transfer
through educational outcomes. A better understanding of academic privilege is part of the key to
understanding social disadvantage. The reach of the impact is mainly in England, and its
significance is in encouraging the improvement of educational outcomes in state schools, which
can change lives for the better."
546,"
    University of Ulster
    ",Law,"
    Framing Transitional Justice Practice: Dealing with the Past in Northern
      Ireland
    ","    Based on its internationally recognised reframing of transitional justice
      (TJ) theory and practice, TJI demonstrates singular influence on the tone,
      language, framing and outcomes of key debates, policies and advocacy in
      Northern Ireland (NI) since 2003. TJI research ____has informed political
      debate and influenced official recommendations on institutions to address
      the legacy of the conflict; shaped the policy positions and enhanced the
      capacity of local non- governmental organisations (NGOs); shared in the
      production of cultural knowledge in a unique law-led artistic
      collaboration; raised public awareness of the intergenerational aspects of
      the conflict's legacy; and empowered marginalised individuals. TJI's
      critiques of local TJ approaches and our development of the TJ Toolkit
      have demonstrable global applicability. The impact has been primarily
      regional, with national and international dimensions."
547,"
    University of Ulster
    ",Law,"
    Gender, Conflict and Transition
    ","    Transitional Justice Institute's (TJI) work on gender, conflict and
      transition ____demonstrates remarkable international impact, showing effects
      and benefits to institutional norms and policies, civil society
      positioning and legal enforcement at the state level. Knowledge transfer
      provided by TJI research has influenced policy and legal change in the
      regulation of gender norms in conflict and post-conflict settings. Debates
      triggered by TJI scholarly outputs ____have shaped policy agendas and critical
      responses to them. The impact is regional, national and international."
548,"
    University of Ulster
    ",Law,"
    Amnesty, Accountability and Victims' Rights in Peace Processes
    ","    This case study demonstrates that the Transitional Justice Institute
      (TJI) peace process research ____has substantially impacted on key
      stakeholders in multiple conflicted and post-conflict states. Impacts
      include ____developing sustained relationships with public officials to inform
      policymaking, making recommendations for legal changes, capacity building
      with local non-governmental organisations (NGOs) on peace process issues
      and addressing conflict-related abuses, informing public debate, and
      raising awareness of international and comparative legal standards among
      local judiciaries subsequently applied in their work. Impacts have
      benefited a range of users and contributed to growing sensitivity to
      victims' needs in conflict resolution."
549,"
University of Kent
",Law,"
Promoting Awareness of Gender and Sexuality in Development Policy
","Dr Kate Bedford's work ____has demonstrated the limits of existing frameworks for addressing gender
and sexuality in development policy and has had a significant impact in four main ways. First, it
has supported and influenced the work of the major NGOs (including Sexuality Policy Watch, and
the Bretton Woods Project/Action Aid) in holding development institutions to account on questions
of gender equality. Second, it ____has had substantial influence on the work of transnational public
bodies (including UNRISD), challenging conventional wisdom and stimulating debate among
policymakers. Third, it has had considerable ____impact on how development practitioners are taught,
in the UK and beyond. Finally, it has enjoyed a sustained influence in ____shaping a new area of
critical public debate, ____improving public understanding of sexuality and development and ____engaging
diverse international audiences. In the light of ____increased global attention to gender and
development (evident across several leading international institutions), Bedford's research ____has
stimulated important debate about policy orthodoxy and has directly influenced several campaigns
for policy change."
575,"
University of Ulster 10007807
","Art and Design: History, Practice and Theory","
Fairy Magic: Enabling cinematic experiences on mobile devices in real-time.
","Augmented reality supplements real-world experience by placing graphics over a live camera
feed in real-time. Smartphones are a popular and suitable device (ubiquity, portability, and
sensor features). However embedded industry practices delivered an inferior experience limiting
adoption. Maguire's research-informed innovative integration and implementation of visual
effects enabled a high-end cinematic experience. This included integration of user's
environment, interaction with characters, motion blur, 3D realistic character, facial animation,
exponentially ____increased capacity for customized narrative and new audiences. The outcomes
also expanded the aesthetic and genre of the narrative, sharing user experience and thus
reaching significant new user demographics."
577,"
    University of
        Ulster
    ",History,"
    Shaping documentary narratives through the RT&#201; television programme, `The
      Queen and Us' on Queen Elizabeth II's visit to Ireland, 17 May 2011.
    ","    James Loughlin's peer-reviewed research on the British monarchy's role in
      Ireland formed the essential basis for Irish state broadcaster's, RT&#201;'s,
      account of Elizabeth II's historic visit to the Irish
        Republic in 2011. He was advisor to the programme-makers from
      inception and his work formed the spine of the resulting documentary, `The
      Queen and Us'. Loughlin's research fundamentally shaped how the
      programmers presented knowledge of the monarchy's standing in Ireland,
      both historically and contemporaneously, and ____influenced strongly their
      creative practice. Audience levels reached 400,000+, including the Queen
      and Duke of Edinburgh themselves. The work spread worldwide via the RT&#201;
      player."
