sentence,source,label
"Successful bids for European Union and National Heritage Lottery funding have ensured impact that is international in scope, with results disseminated via websites, print publications and other media to the very widest of constituencies.",ref,social_impact
The project has reached an international audience and has contributed significantly to UNESCO recognition for one of Norwich's iconic buildings.,ref,social_impact
"Research carried out by the University of Greenwich has provided the basis for policy development on participation in higher education and has informed policy makers' views about, and practitioners' work on, anti-social behaviour in schools in the UK and more widely.",ref,social_impact
"Moreover, the research has informed the government's approach to funding the teaching of STEM subjects and has led to better public awareness and understanding of the issues.",ref,social_impact
"The findings have provided policy-makers in education and government economists with a better knowledge base with which to consider and evaluate the role of the independent education sector in Britain and to contribute to the debate on skills, social mobility and inter-generational transfer through educational outcomes.",ref,social_impact
TJI research has informed political debate and influenced official recommendations on institutions to address the legacy of the conflict; shaped the policy positions and enhanced the capacity of local non- governmental organisations (NGOs); shared in the production of cultural knowledge in a unique law-led artistic collaboration; raised public awareness of the intergenerational aspects of the conflict's legacy; and empowered marginalised individuals.,ref,social_impact
"Transitional Justice Institute's (TJI) work on gender, conflict and transition demonstrates remarkable international impact, showing effects and benefits to institutional norms and policies, civil society positioning and legal enforcement at the state level.",ref,social_impact
Debates triggered by TJI scholarly outputs have shaped policy agendas and critical responses to them.,ref,social_impact
This case study demonstrates that the Transitional Justice Institute (TJI) peace process research has substantially impacted on key stakeholders in multiple conflicted and post-conflict states.,ref,social_impact
"Impacts include developing sustained relationships with public officials to inform policymaking, making recommendations for legal changes, capacity building with local non-governmental organisations (NGOs) on peace process issues and addressing conflict-related abuses, informing public debate, and raising awareness of international and comparative legal standards among local judiciaries subsequently applied in their work.",ref,social_impact
Dr Kate Bedford's work has demonstrated the limits of existing frameworks for addressing gender and sexuality in development policy and has had a significant impact in four main ways.,ref,social_impact
"Second, it has had substantial influence on the work of transnational public bodies (including UNRISD), challenging conventional wisdom and stimulating debate among policymakers.",ref,social_impact
"Third, it has had considerable impact on how development practitioners are taught, in the UK and beyond.",ref,social_impact
"Finally, it has enjoyed a sustained influence in shaping a new area of critical public debate, improving public understanding of sexuality and development and engaging diverse international audiences.",ref,social_impact
"In the light of increased global attention to gender and development (evident across several leading international institutions), Bedford's research has stimulated important debate about policy orthodoxy and has directly influenced several campaigns for policy change.",ref,social_impact
"This included integration of user's environment, interaction with characters, motion blur, 3D realistic character, facial animation, exponentially increased capacity for customized narrative and new audiences.",ref,social_impact
"Loughlin's research fundamentally shaped how the programmers presented knowledge of the monarchy's standing in Ireland, both historically and contemporaneously, and influenced strongly their creative practice.",ref,social_impact
Their photographic work has enhanced public and national understanding of conflicts in which the United Kingdom has been directly involved.,ref,social_impact
"Using contemporary art-based contextual and methodological strategies of production and dissemination, the research has provided new material through which contemporary and historic conflict can be commemorated and interpreted in international museum collections, publications and exhibitions.",ref,social_impact
"Den Boer's research into the relationship between extreme gender population imbalances and state security has shaped public and political debate within national and international media, influenced public policy and political campaigns, and affected the provision of data services within the Organisation for Economic Co-Operation and Development (OECD).",ref,social_impact
"The researchers' argument regarding Asia's missing women continues to inform journalists', NGOs', institutions', policy makers' and the wider public's understanding of the role played by gender imbalances when assessing state stability and security in situations as diverse as gendercide in Asia, youth uprisings and revolts, and gang rape in India.",ref,social_impact
Research on mediation practice and conflict regulation contributed to the development of resources to enhance professional training standards and democratic participation in conflict-ridden societies.,ref,social_impact
"Scholarly work on conflict resolution capacity has had an impact on intergovernmental bodies, the media and transnational communities and has demonstrably produced innovative training methods for NGOs and conflict practitioners as well as resources to safeguard inclusivity in divided societies.",ref,social_impact
These new cycling models have provided the basis for the development of new training processes that are influencing the way in which many nations prepare their elite riders.,ref,social_impact
This work has contributed directly to enhance elite sports science practice in the field of cycling and the competitive advantage for British teams to which it contributes is envied around the world.,ref,social_impact
"Pappous's research has also informed the Department for Culture, Media and Sport, the House of Commons and the House of Lords about the difficulty in achieving sustained sports participation after the Olympic Games.",ref,social_impact
"Internationally, Pappous's research has informed debate in the US media (USA Today) and among sport managers and policy makers in Africa, South America and Europe.",ref,social_impact
Greenfoot has helped to raise the profile of programming in schools and outside in a number of countries.,ref,social_impact
